Name,avgGPA,rating,n_ratings,take_again,difficulty,rating_group,difficulty_group,totalA,totalB,totalC,totalD,totalF,dep_group
AP Pierce,3.44,4.6,10,80%,2.5,4-5,2-3,369,75,22,6,25,HSSA
Aaron Blackwell,3.44,3,8,0%,3,3-4,3-4,281,259,84,16,12,HSSA
Aaron Ettenberg,2.81,4.6,36,94%,3.6,4-5,3-4,544,828,996,257,131,HSSA
Aaron Sokoll,3.01,4.6,9,100%,2,4-5,2-3,54,89,22,0,5,HSSA
Aaron Ullrey,2.98,3.1,18,75%,3.9,3-4,3-4,57,111,24,4,9,HSSA
Aaron Zimmerman,3.14,4,113,55%,2.8,4-5,2-3,1329,2444,741,60,195,HSSA
Aashish Mehta,3.28,4.1,34,72%,3.9,4-5,3-4,1169,940,571,166,74,HSSA
Abdullah Salehuddin,3.27,4.7,14,93%,2.6,4-5,2-3,86,25,20,2,8,HSSA
Adam Sabra,3.27,3.4,8,50%,3.6,3-4,3-4,455,386,73,17,61,HSSA
Adam Tashman,3.5,2.5,7,50%,2.7,2-3,2-3,205,73,34,8,9,Math/Stats
Adebisi Agboola,3.3,2.1,80,22%,3.6,2-3,3-4,1048,608,459,121,106,Math/Stats
Adil Yaqub,3.12,3,52,100%,2.3,3-4,2-3,544,567,315,49,37,Math/Stats
Adriane Friedl,3.47,3.7,11,N/A,3.1,3-4,3-4,9,10,0,0,0,HSSA
Adrienne Edgar,3.5,3.3,26,70%,2.9,3-4,2-3,954,991,235,18,65,HSSA
Adrienne Tsikewa,2.67,1.9,7,15%,3.1,1-2,3-4,86,87,30,14,14,HSSA
Ahmad Ahmad,3.18,2.9,26,63%,3,2-3,3-4,478,489,102,22,44,HSSA
Aida Hurtado,3.75,3.1,9,45%,1.7,3-4,1-2,741,343,45,5,12,HSSA
Akiyo Cantrell,3.42,3.9,12,80%,2.8,3-4,2-3,783,368,104,18,10,HSSA
Akos Nagy,3.31,3.2,11,55%,3.2,3-4,3-4,635,236,94,31,38,Math/Stats
Alan Fridlund,2.53,4.1,494,72%,3.1,4-5,3-4,4026,9360,6158,2424,1495,HSSA
Alan Liu,3.54,2.6,32,22%,4.1,2-3,4-5,577,468,135,20,81,HSSA
Albert Lindemann,3.16,3.1,42,0%,4.2,3-4,4-5,83,79,37,4,9,HSSA
Albert Shin,3.07,4.2,8,0%,2.4,4-5,2-3,106,179,43,8,4,HSSA
Aldo Cimino,2.83,4.8,25,100%,2.3,4-5,2-3,400,580,268,108,60,HSSA
Alenda Chang,3.25,2.5,10,40%,4,2-3,4-5,432,487,143,24,16,HSSA
Alex George,3.25,3.1,18,N/A,3.4,3-4,3-4,99,102,14,2,3,HSSA
Alex LeBrun,3.33,4.4,18,78%,3.5,4-5,3-4,432,344,45,4,27,HSSA
Alex Simms,3.49,4.3,63,79%,2.4,4-5,2-3,1028,1035,348,72,77,Science
Alex Wrobel,2.99,5,43,100%,2.4,4-5,2-3,1101,1039,516,154,109,Science
Alexander Cho,3.7,4.8,12,92%,1.6,4-5,1-2,968,196,33,8,23,HSSA
Alexander Petersen,3.3,3.7,14,72%,3.4,3-4,3-4,245,279,113,24,17,Math/Stats
Alexander Shkolnik,3.74,3.7,14,72%,4.1,3-4,4-5,298,86,30,7,6,Math/Stats
Alexander Swan,2.65,2.5,17,N/A,3.5,2-3,3-4,146,375,253,46,24,HSSA
Alice Nguyen,3.04,1.1,71,2%,4,1-2,4-5,17357,15177,9891,2163,1266,Science
Alice O'Connor,3.41,3.9,52,50%,3.4,3-4,3-4,1034,922,200,17,74,HSSA
Alicia Boswell,3.53,2.9,12,42%,3.4,2-3,3-4,444,145,42,6,15,HSSA
Alicia Cast,3.23,4.7,33,92%,2.6,4-5,2-3,1803,1169,379,106,115,HSSA
Alison Brysk,3.58,3.8,17,67%,2.5,3-4,2-3,1451,797,170,20,32,HSSA
Alison Butler,3.74,3.1,9,N/A,4.1,3-4,4-5,387,106,25,6,0,Science
Alison Williams,3.66,3.5,13,70%,3,3-4,3-4,678,133,39,4,17,HSSA
Alli Johnson,3.53,4.7,14,93%,2.2,4-5,2-3,304,126,13,1,7,HSSA
Allison Anders,3.91,4.5,12,50%,1.5,4-5,1-2,788,51,7,1,9,HSSA
Allison Slade,3.32,3,30,34%,3.4,3-4,3-4,2304,1521,403,75,136,HSSA
Amanda Stansell,3.46,4.4,56,67%,2.4,4-5,2-3,1280,988,52,1,30,HSSA
Ambi Harsha,3.7,4.5,19,N/A,1.6,4-5,1-2,292,47,6,7,6,HSSA
Ambuj Singh,3.68,2.5,26,36%,3.7,2-3,3-4,788,343,166,21,32,Engineering
Amedee Martella,3.74,5,8,100%,1.5,4-5,1-2,180,28,10,2,0,HSSA
Ami Cohen,2.53,2.8,11,N/A,3.9,2-3,3-4,17,25,20,14,18,HSSA
Amit Ahuja,3.34,4.2,12,86%,3.8,4-5,3-4,458,774,148,17,24,HSSA
Amit Shilo,3.27,3.1,41,58%,2.6,3-4,2-3,2285,1420,374,77,187,HSSA
Amy Boddy,3.61,4.9,8,100%,2.1,4-5,2-3,781,268,82,22,29,HSSA
Amy Gonzales,3.26,2.6,32,32%,3.4,2-3,3-4,749,1104,275,44,52,HSSA
Amy Jamieson,3.62,3.3,83,63%,2.2,3-4,2-3,7091,3503,1126,288,364,HSSA
Amy Kyratzis,3.91,3.1,8,67%,1.9,3-4,1-2,617,66,15,3,4,HSSA
Amy Lashmet,3.55,3.5,36,62%,3.1,3-4,3-4,535,209,25,6,16,HSSA
Amy Martinez,3.59,3.2,6,50%,2.5,3-4,2-3,280,53,8,6,11,HSSA
Amy Propen,3.74,4.8,9,100%,1.7,4-5,1-2,949,171,18,1,9,HSSA
Amy Small,3.65,3.5,21,58%,3.5,3-4,3-4,379,124,5,4,0,HSSA
Ana Requena,2.76,4.4,7,100%,1.8,4-5,1-2,107,190,109,27,16,HSSA
Andre Wyss,2.67,3.5,33,25%,3.2,3-4,3-4,346,764,665,110,73,Science
Andrea Fishman,3.72,2.6,40,45%,3.1,2-3,3-4,325,122,30,1,19,HSSA
Andrea Nicolaescu,3.46,3.4,13,54%,3.8,3-4,3-4,565,193,31,9,22,HSSA
Andrea Young,3.14,2.6,37,49%,4.5,2-3,4-5,374,430,178,26,49,Science
Andreas Ludwig,3.77,4.3,9,100%,3.9,4-5,3-4,415,174,71,22,9,Science
Andreas Malmendier,2.55,4.5,43,N/A,3.4,4-5,3-4,73,77,76,18,13,Math/Stats
