Name,A,B,C,D,F,totalGrades
Alex Simms,850,1017,348,73,76,2364
Alex Wrobel,1101,1039,516,154,109,2919
Alice Nguyen,17357,15177,9891,2163,1267,45855
Alison Butler,253,98,25,6,0,382
Alison Williams,41,55,20,2,1,119
Ami Cohen,8,2,0,0,0,10
Andre Wyss,356,765,665,110,74,1970
Andrea Young,384,430,178,26,49,1067
Andreas Ludwig,415,174,71,22,9,691
Andrew Cleland,181,250,130,25,10,596
Andrew Jayich,546,412,146,37,16,1157
Andy Wyss,356,765,665,110,74,1970
Angela Karmis,1404,1039,406,127,70,3046
Ania Jayich,546,412,146,37,16,1157
Anna James,1284,362,75,6,19,1746
Anna Trugman,330,225,93,36,37,721
Anthony Anderson,51,27,10,0,1,89
Anthony Zee,450,207,60,19,11,747
Armand Kuris,1414,936,914,37,16,3317
Armen Zakarian,719,417,328,57,26,1547
Bassam Bamieh,9,3,0,0,0,12
Ben Reese,5,0,0,0,0,5
Ben Zhao,10,2,0,0,0,12
Benjamin Monreal,359,288,128,18,21,814
Bernie Kirtman,141,196,38,3,6,384
Bianca Acevedo,60,74,33,9,3,179
Blair Paul,107,200,105,18,6,436
Bradley Hacker,261,178,36,4,3,482
Brandon Greene,115,126,105,48,32,426
Brett Hartman,151,457,276,57,18,959
Bretton Fletcher,62,124,57,20,5,268
Brice Erickson,47,80,88,20,10,245
Bridget Lewin,750,90,9,4,6,859
Brooke Gardner,540,220,89,13,6,868
Bruce Lipshutz,1171,313,177,43,28,1732
Bruce Mahall,134,49,72,5,11,271
Bruce Tiffney,448,445,271,80,52,1296
Bryanna Sylvester,1768,2411,2293,801,681,7954
Carl Gwinn,474,476,148,17,21,1136
Carla D'Antonio,979,370,85,15,13,1462
Catherine Gautier,230,186,65,8,59,548
Cathy Busby,491,369,246,32,43,1181
Celia Alario,279,144,8,0,8,439
Cenke XU,378,159,97,21,20,675
Charles Jones,531,119,16,11,11,688
Charles Samuel,504,500,263,10,6,1283
Chenhao Jin,176,263,83,8,12,542
Chris Hayes,1602,1310,577,183,52,3724
Chris Richardson,719,347,178,38,24,1306
Chris Still,144,375,165,25,17,726
Christopher Bernt,5680,5292,2589,741,739,15041
Christopher Cody Stephens,100,63,9,1,5,178
Christopher Evelyn,530,241,109,12,16,908
Claudia Tyler,3519,927,198,44,19,4707
Claudio Campagnari,1345,1035,343,51,65,2839
Craig Carlson,2572,4257,2675,622,193,10319
Crisjoe Joseph,3858,6918,5857,2571,1002,20206
Crystal Martin,452,506,215,57,46,1276
Dan Luna,2029,2883,1608,362,217,7099
Dan Montello,641,1552,1549,524,347,4613
Dani Cox,365,86,25,7,21,504
Daniel Ervin,67,162,103,17,9,358
Dar Roberts,457,479,320,103,94,1453
Darby Feldwinn,1425,2410,2274,809,1084,8002
Dave Morrison,116,22,9,1,0,148
Dave Valentine,864,667,469,37,64,2101
David Cannell,946,637,277,35,44,1939
David Caratelli,254,173,50,7,19,503
David Cleveland,501,354,86,18,14,973
David Kohl,213,250,205,17,33,718
David Lea,1003,1039,387,96,107,2632
David Lopez-Carr,1110,554,179,40,58,1941
David Low,1100,894,582,148,63,2787
David Morrison,116,22,9,1,0,148
David Patterson,281,303,71,5,15,675
David Stone,742,504,95,5,31,1377
David Stuart,1160,649,390,161,238,2598
David Weld,502,444,142,27,29,1144
Deborah Fygenson,2441,1165,249,44,94,3993
Debra Perrone,540,152,40,8,7,747
Denise Knapp,71,142,89,21,8,331
Denise Montell,1249,568,137,13,13,1980
Dennis Clegg,1859,2037,2459,496,360,7211
Deron Burkepile,862,509,159,22,8,1560
Diane Eardley,1219,727,83,6,15,2050
Dirk Bouwmeester,1355,1161,621,96,132,3365
Dominique Jullien,92,187,74,10,10,373
Donald Aue,2030,1960,1705,924,349,6968
Donald Marolf,415,297,133,41,31,917
Doug Folsom,288,238,36,2,5,569
Doug Thrower,3599,2877,1927,587,353,9343
Douglas Eardley,1219,727,83,6,15,2050
Duane Sears,760,931,828,98,64,2681
Dzwokai Ma,1458,1004,709,186,50,3407
Edouard Giessinger,1382,288,104,23,13,1810
Edward Keller,1080,1529,483,10,41,3143
Elijah Quetin,111,116,54,13,17,311
Elizabeth Chrastil,215,378,165,23,22,803
Elizabeth Erickson,147,138,58,13,15,371
Elizabeth Gwinn,859,981,619,247,141,2847
Emily Engel,10,29,22,5,2,68
Eric Corsini,401,567,258,37,42,1305
Eric Engel,10,29,22,5,2,68
Eric McFarland,4,0,0,0,0,4
Eric Smith,72,111,28,0,0,211
Erik Muller,97,131,43,6,6,283
Erik Nielsen,138,19,9,0,6,172
Ernest Freund,11841,8829,3077,961,425,25133
Evangeline Ballerini,29,34,24,2,4,93
