Name,Department,Quality Rating,Number of Ratings,Would Take Again,Difficulty
Susan Grover,Accounting,5.0,4 ratings,100%,3.3
Brenda Richter,Accounting,0.0,0 ratings,N/A,0
Jennifer Hulme,Accounting,4.0,48 ratings,71%,3.5
Mark Pasternak,Accounting,0.0,0 ratings,N/A,0
Coby Harmon,Accounting,3.6,165 ratings,71%,3.1
Justin Tooley,Accounting,2.7,8 ratings,38%,3
Jeffery Harris,Accounting,4.0,1 ratings,100%,3
Douglas Kulper,Accounting,3.7,52 ratings,65%,3.2
Alex Bauer,Accounting,4.0,1 ratings,100%,3
Jodi Cutler,Advisor,3.0,1 ratings,N/A,4
Amanda Asquith,Advisor,0.0,0 ratings,N/A,0
Aimee Hanna,Advisor,0.0,0 ratings,N/A,0
George Lipsitz,African-American Studies,3.5,71 ratings,58%,3.3
Lexxus Coffey-Edison,African-American Studies,5.0,2 ratings,100%,2
Mia White,African-American Studies,0.0,0 ratings,N/A,0
Gaye Johnson,African-American Studies,4.2,51 ratings,N/A,2.7
Claudine Michel,African-American Studies,3.3,5 ratings,N/A,3.2
Clyde Woods,African-American Studies,3.1,6 ratings,N/A,1.5
Kaia Stern,African-American Studies,0.0,0 ratings,N/A,0
Michael Gurven,Anthropology,3.3,23 ratings,58%,3.9
Sarah McClure,Anthropology,4.8,21 ratings,91%,2.5
Phillip Walker,Anthropology,4.1,18 ratings,N/A,3.4
Susan Stonich,Anthropology,1.8,13 ratings,N/A,3.6
Shankar Aswani,Anthropology,2.9,12 ratings,N/A,3.8
Mary Hancock,Anthropology,2.9,8 ratings,0%,3.5
Greg Wilson,Anthropology,4.0,8 ratings,60%,2.9
Susan Kuzminsky,Anthropology,4.6,7 ratings,80%,3.7
Inga Bjornsdottir,Anthropology,3.9,3 ratings,0%,2.3
Diana Anzures-Dyste,Anthropology,4.3,2 ratings,N/A,3.5
Kristin Hoppa,Anthropology,4.0,1 ratings,100%,1
Stuart Smith,Anthropology,2.7,107 ratings,54%,3.1
Patricia Taber,Anthropology,3.7,55 ratings,80%,3.4
Aldo Cimino,Anthropology,4.8,25 ratings,100%,2.3
Mayfair Yang,Anthropology,3.0,26 ratings,86%,2.9
Michael Jochim,Anthropology,4.3,23 ratings,100%,2.8
David Lawson,Anthropology,4.1,9 ratings,78%,3
Amy Boddy,Anthropology,4.9,8 ratings,100%,2.1
Weston McCool,Anthropology,3.4,8 ratings,63%,3.8
Tanaka Saldivar,Anthropology,3.9,6 ratings,60%,2.3
Claudia Garcia-Des Lauriers,Anthropology,2.6,5 ratings,N/A,2.8
Aaron Gidding,Anthropology,3.3,3 ratings,34%,3.3
J F Brooks,Anthropology,2.8,2 ratings,N/A,3
Juan Vicente Palerm,Anthropology,3.0,2 ratings,N/A,1
Raquel Pacheco,Anthropology,5.0,1 ratings,100%,3
Britt Lucero,Anthropology,5.0,1 ratings,100%,3
Steven Gaulin,Anthropology,3.6,314 ratings,59%,3.4
Jeffrey Hoelle,Anthropology,3.9,72 ratings,69%,2.4
Danielle Kurin,Anthropology,4.7,32 ratings,100%,3.2
Sabrina Curran,Anthropology,4.0,20 ratings,50%,3.5
Elana Resnick,Anthropology,4.1,19 ratings,85%,1.6
Matthew Curtis,Anthropology,4.4,13 ratings,N/A,3.5
Aaron Blackwell,Anthropology,3.0,8 ratings,0%,3
Mary O'Connor,Anthropology,2.8,6 ratings,N/A,1.8
Adrian Jaeggi,Anthropology,3.9,4 ratings,N/A,2.5
Myrtle Shock,Anthropology,3.4,4 ratings,N/A,4.3
Heather Thakar,Anthropology,4.8,3 ratings,N/A,2.3
Ben Trumble,Anthropology,5.0,1 ratings,N/A,1
Jake Dean,Anthropology,0.0,0 ratings,N/A,0
Matt Whittle,Anthropology,4.7,32 ratings,95%,2.1
Michelle Brown,Anthropology,2.4,27 ratings,31%,4.4
Matthew Whittle,Anthropology,4.5,16 ratings,90%,2.6
Eric Schniter,Anthropology,3.5,14 ratings,N/A,3.6
Katharina Schreiber,Anthropology,4.3,14 ratings,N/A,2.4
John Johnson,Anthropology,2.8,13 ratings,17%,3.8
Lisa McAllister,Anthropology,2.5,12 ratings,N/A,3.9
Douglas Kennett,Anthropology,3.8,6 ratings,67%,2.3
Matthew Biwer,Anthropology,4.0,1 ratings,100%,3
spencer mitchell,Anthropology,0.0,0 ratings,N/A,0
Joseph Kilgallen,Anthropology,0.0,0 ratings,N/A,0
Casey Walsh,Anthropology,3.3,168 ratings,62%,2.3
Dwight Hines,Anthropology,2.3,78 ratings,N/A,3.2
Matthea Cremers,Anthropology,3.0,63 ratings,67%,2.4
John Tooby,Anthropology,3.1,52 ratings,20%,2.6
Manny Kundu,Anthropology,3.0,24 ratings,25%,2.9
David Cleveland,Anthropology,3.4,22 ratings,N/A,3.8
Amber Vanderwarker,Anthropology,4.5,17 ratings,100%,2.7
Katherine Sobraske,Anthropology,4.7,15 ratings,N/A,2.7
Emily Zeamer,Anthropology,2.5,14 ratings,100%,3.3
Travis DuBry,Anthropology,4.4,11 ratings,N/A,2.9
Shelley LaMon,Anthropology,3.5,9 ratings,100%,2.2
Lynn Gamble,Anthropology,3.8,7 ratings,N/A,3.1
Raziel Davison,Anthropology,4.8,6 ratings,84%,3
Emiko Saldivar,Anthropology,4.0,6 ratings,84%,1.8
Hugo Santos Gomez,Anthropology,3.3,5 ratings,N/A,1.8
Daniel Sznycer,Anthropology,3.8,3 ratings,N/A,3.7
Katherine Hinde,Anthropology,5.0,2 ratings,N/A,2.5
Tana Saldivar,Anthropology,5.0,2 ratings,100%,3.5
MacKenzie Wade,Anthropology,5.0,1 ratings,100%,2
Shelly LaMon,Anthropology,0.0,0 ratings,N/A,0
Jonathan Malindine,Anthropology,0.0,0 ratings,N/A,0
Tristan Partridge,Anthropology,0.0,0 ratings,N/A,0
Volker Welter,Architecture,3.8,55 ratings,68%,3.1
Fikret Yegul,Architecture,2.7,89 ratings,0%,3.1
Ignacio Adriasola-Munoz,Art,2.5,16 ratings,39%,3.6
Henning Von Mirbach,Art,4.0,6 ratings,84%,2.7
Marta Faust,Art,4.2,5 ratings,100%,2.8
Deborah Spivak,Art,4.1,4 ratings,100%,3
Adam Jahnke,Art,1.0,4 ratings,0%,4.8
Jessica Friedman,Art,5.0,4 ratings,100%,1
Jane Mulfinger,Art,5.0,2 ratings,100%,2
Andres Burbano,Art,5.0,1 ratings,N/A,4
Keelan Overton,Art,2.0,1 ratings,0%,5
Carole Paul,Art,0.0,0 ratings,N/A,0
Claudia Moser,Art,3.8,56 ratings,86%,2.9
Heather Badamo,Art,2.4,34 ratings,50%,3.4
Abigail Solomon-Godeau,Art,2.0,17 ratings,N/A,3.8
Elizabeth Folk,Art,4.5,1 ratings,N/A,3
Chris Silva,Art,5.0,1 ratings,N/A,4
Cathy Ellis,Art,5.0,1 ratings,100%,4
Rachel Schimpock,Art,0.0,0 ratings,N/A,0
Rose Briccetti,Art,0.0,0 ratings,N/A,0
Shannon Lieberman,Art,0.0,0 ratings,N/A,0
Elaine McLemore,Art,4.2,12 ratings,84%,2.6
Patrick Melroy,Art,3.4,5 ratings,N/A,4
Erin Travers,Art,3.2,4 ratings,50%,4
Alejandro Castano Isaza,Art,5.0,3 ratings,N/A,2.3
Richard Hebdige,Art,3.0,3 ratings,N/A,2.3
Emily Baker,Art,3.0,1 ratings,0%,5
Dan Baciu,Art,4.0,1 ratings,100%,2
Natalie Sanderson,Art,2.0,1 ratings,0%,1
Brooke Smiley,Art,5.0,1 ratings,100%,1
Linda Ekstrom,Art,0.0,0 ratings,N/A,0
Madeleine Ignon,Art,0.0,0 ratings,N/A,0
Ann Adams,Art,3.8,38 ratings,72%,3.2
Charlene Garfinkle,Art,4.1,25 ratings,70%,2.2
Alicia Boswell,Art,2.9,12 ratings,42%,3.4
Brigitte Salami,Art,3.3,3 ratings,34%,3.3
Hank Pitcher,Art,1.0,2 ratings,0%,1.5
Benjamin Jameson-Ellsmore,Art,3.0,2 ratings,50%,2.5
Marcos Novak,Art,5.0,1 ratings,100%,2
Kevin Smith,Art,0.0,0 ratings,N/A,0
Lucas Murgida,Art,0.0,0 ratings,N/A,0
Mary Mcguire,Art,0.0,0 ratings,N/A,0
Jenni Sorkin,Art,2.8,41 ratings,46%,3
Fikret Yegal,Art,3.1,8 ratings,N/A,2.4
Stephanie Washburn,Art,4.8,6 ratings,100%,3.8
Mohammadreza Mirzaei,Art,4.5,4 ratings,100%,3.3
Sarah Brady,Art,2.0,2 ratings,50%,2
George Legrady,Art,4.5,1 ratings,N/A,3
Bill Ferguson,Art,4.0,1 ratings,N/A,4
Alice Wang,Art,1.0,1 ratings,N/A,5
Nathan Segura,Art,0.0,0 ratings,N/A,0
Susy Bielak,Art,0.0,0 ratings,N/A,0
Jeremy White,Art History,3.7,54 ratings,66%,3
Jennifer Vanderpool,Art History,2.7,29 ratings,75%,2.7
E. Bruce Robertson,Art History,3.8,28 ratings,100%,2.2
Mark Meadow,Art History,3.9,34 ratings,72%,2.9
Ann Bermingham,Art History,4.2,12 ratings,100%,2.8
Mira Rai,Art History,4.5,1 ratings,N/A,2
Richard Wittman,Art History,3.4,49 ratings,62%,3.6
Edson Armi,Art History,3.1,31 ratings,100%,4.1
Sarah Thompson,Art History,3.2,23 ratings,N/A,3
TM Handscomb,Art History,1.6,7 ratings,N/A,3.6
Jane Callister,Art History,4.7,6 ratings,N/A,2
Barbara Vilander,Art History,4.3,31 ratings,0%,2.3
Jessica Ambler,Art History,3.5,1 ratings,N/A,2
Laurie Monahan,Art History,3.1,88 ratings,34%,3.3
Helen Taschian,Art History,3.5,47 ratings,67%,3.3
Swati Chattopadhyay,Art History,3.4,32 ratings,67%,3.3
Ulrich Keller,Art History,3.0,16 ratings,100%,2.8
Miriam Wattles,Art History,3.2,14 ratings,67%,2.6
Matthew Fisk,Art History,3.8,3 ratings,N/A,3.7
Ayako Takamori,Asian American Studies,5.0,3 ratings,100%,2.3
Thien Ninh,Asian American Studies,0.0,0 ratings,N/A,0
Lisa Park,Asian American Studies,4.1,9 ratings,56%,2.7
Benjamin Zulueta,Asian American Studies,3.1,34 ratings,45%,3.2
Sameer Pandya,Asian American Studies,3.0,6 ratings,50%,3.8
Elizabeth Rubio,Asian American Studies,2.0,1 ratings,0%,3
Tiffany Lytle,Asian American Studies,0.0,0 ratings,N/A,0
John Park,Asian American Studies,4.3,15 ratings,72%,3.7
Julie Cho,Asian American Studies,3.7,3 ratings,67%,1.3
Lilly Tamai,Asian American Studies,5.0,1 ratings,100%,3
Lily Anne Yumi Welty,Asian American Studies,3.3,12 ratings,34%,4.2
Alexander Cho,Asian American Studies,4.8,12 ratings,92%,1.6
Jason Stohler,Asian American Studies,4.9,11 ratings,100%,1.9
Donna Anderson,Asian American Studies,5.0,1 ratings,100%,2
John Lew,Biochemistry,4.3,3 ratings,67%,3
Frederick Dahlquist,Biochemistry,2.1,17 ratings,10%,3.7
Brooke Gardner,Biochemistry,3.2,9 ratings,56%,3.9
Brandon Greene,Biochemistry,2.2,13 ratings,24%,4.7
Zachary Ruhe,Biochemistry,3.5,1 ratings,N/A,4
John Latto,Biology,4.8,102 ratings,99%,2.1
Rolf Christoffersen,Biology,3.1,92 ratings,47%,3.6
Alice Nguyen,Biology,1.1,71 ratings,2%,4
Lalo Gonzalez,Biology,2.7,49 ratings,47%,3.8
William Rice,Biology,3.2,44 ratings,60%,3.8
Dennis Clegg,Biology,3.9,35 ratings,65%,3.7
Sam Sweet,Biology,4.3,31 ratings,100%,3.5
Peter Collins,Biology,3.2,19 ratings,100%,3.1
Jim Cooper,Biology,2.4,18 ratings,0%,4.2
Chris Richardson,Biology,4.7,18 ratings,95%,3.3
Denise Montell,Biology,3.3,16 ratings,37%,3.3
Julie Simpson,Biology,3.7,12 ratings,67%,4
Matthieu Louis,Biology,3.3,11 ratings,28%,4.5
Holly Moeller,Biology,4.3,10 ratings,80%,3.7
Nino Gonzalez,Biology,2.4,9 ratings,34%,4.1
